ES_CRUCE,ES_FINDE,HORA_SIN,HORA_COS,MES_SIN,MES_COS,CPFA Granizo,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Barro,CPSV Grava Suelta,CPSV Hielo,TASA_GRAVEDAD_HIST_DISTRITO,PCT_HIST_PEATON_DISTRITO,PCT_HIST_MOTO_DISTRITO,INCLUYE_MOTO,INCLUYE_BICI,VIA_AUTOVIA,VIA_AVENIDA,VIA_CARRETERA,VIA_GLORIETA,VIA_OTROS,VIA_PASEO,VIA_PLAZA,VIA_RONDA,ACC_ATROPELLO,ACC_CAÍDA BICICLETA,ACC_CAÍDA CICLOMOTOR,ACC_CAÍDA MOTOCICLETA,ACC_CAÍDA VIAJERO BUS,ACC_CHOQUE CON OBJETO FIJO,ACC_COLISIÓN MÚLTIPLE,ACC_OTRAS CAUSAS,ACC_VUELCO,INCLUYE_PEATON,INCLUYE_EDAD_RIESGO,N_PERSONAS_IMPLICADAS,N_VICTIMAS_LOG
0,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.09750488438079927,0.2006433339251951,0.5088462281848615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1.0986122886681098
0,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.11322986591459773,0.20020458462205895,0.2647349573840883,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0.6931471805599453
1,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.09178345812892676,0.17446989536842364,0.5264853708416838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3862943611198906
1,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.0942476940667664,0.14256611437112326,0.41073421001313126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0.6931471805599453
1,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.11478930911812761,0.21628103041482516,0.297741031802145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0.6931471805599453
0,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.09193801394500357,0.12429231590048145,0.5365647071033239,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0.6931471805599453
0,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.09270691903460815,0.1202502101831678,0.5184074466703622,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1.0986122886681098
1,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.08961668840012121,0.1266060155019922,0.5333400836020785,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0.6931471805599453
0,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.10480866296674937,0.19970983487637248,0.298871392487356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471805599453
0,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.11416916091551574,0.2114561334529362,0.2996196693267129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.6931471805599453
0,1,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.09715562966929997,0.13797606652155492,0.3304985528410311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471805599453
1,1,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.0974912053755497,0.12735749278777303,0.42834136126919714,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471805599453
0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,0,0,0,0,0.10253973560841621,0.1990681892243989,0.3105498926137535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0.6931471805599453
