Nº PARTE,FECHA,AÑO,MES,RANGO HORARIO,DIA SEMANA,DISTRITO,LUGAR ACCIDENTE,TIPO ACCIDENTE,Nº VICTIMAS *,CPFA Granizo,CPFA Hielo,CPFA Lluvia,CPFA Niebla,CPFA Seco,CPFA Nieve,CPSV Mojada,CPSV Aceite,CPSV Barro,CPSV Grava Suelta,CPSV Hielo,CPSV Seca Y Limpia,GRAVE,N_PERSONAS_IMPLICADAS,INCLUYE_PEATON,INCLUYE_MOTO,INCLUYE_BICI,INCLUYE_EDAD_RIESGO,HORA,ES_FINDE,ES_CRUCE,TIPO_VIA,N_VICTIMAS_LOG
2012/98,2012-01-01,2012,1,DE 2:00 A 2:59,DOMINGO,CENTRO,CALLE DE LA PRINCESA NUM,ATROPELLO,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,2,1,0,CALLE,1.0986122886681098
2012/118,2012-01-01,2012,1,DE 2:00 A 2:59,DOMINGO,PUENTE DE VALLECAS,AVENIDA DE SAN DIEGO NUM,OTRAS CAUSAS,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,0,2,1,0,AVENIDA,0.6931471805599453
2012/3,2012-01-01,2012,1,DE 2:00 A 2:59,DOMINGO,TETUAN,CALLE DE BRAVO MURILLO - CALLE DE LAS CAROLINAS,COLISIÓN DOBLE,3,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,2,1,1,CALLE,1.3862943611198906
2012/5,2012-01-01,2012,1,DE 5:00 A 5:59,DOMINGO,CIUDAD LINEAL,CALLE DE ALCALA - AUTOVIA  M-30 CALZADA 1,COLISIÓN MÚLTIPLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,5,1,1,AUTOVIA,0.6931471805599453
2012/57,2012-01-01,2012,1,DE 7:00 A 7:59,DOMINGO,LATINA,AVENIDA DE LOS POBLADOS - CALLE DEL PARQUE EUGENIA DE MONTIJO,CAÍDA VIAJERO BUS,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,7,1,1,AVENIDA,0.6931471805599453
2012/95,2012-01-01,2012,1,DE 7:00 A 7:59,DOMINGO,SALAMANCA,CALLE DE O'DONNELL NUM,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,7,1,0,CALLE,0.6931471805599453
2012/16,2012-01-01,2012,1,DE 18:00 A 18:59,DOMINGO,CHAMARTIN,CALLE DE JOAQUIN COSTA NUM,ATROPELLO,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,18,1,0,CALLE,1.0986122886681098
2012/15,2012-01-01,2012,1,DE 18:00 A 18:59,DOMINGO,SALAMANCA,AVENIDA DE AMERICA - CALLE DE CARTAGENA,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,1,18,1,1,AVENIDA,0.6931471805599453
2012/233,2012-01-01,2012,1,DE 19:00 A 19:59,DOMINGO,CARABANCHEL,CALLE DEL GENERAL RICARDOS NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,19,1,0,CALLE,0.6931471805599453
2012/32,2012-01-01,2012,1,DE 20:00 A 20:59,DOMINGO,LATINA,CARRETERA DE BOADILLA DEL MONTE NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,6,0,0,0,1,20,1,0,CARRETERA,0.6931471805599453
2012/29,2012-01-01,2012,1,DE 22:00 A 22:59,DOMINGO,FUENCARRAL-EL PARDO,CALLE DE LA VILLA DE MARIN NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,22,1,0,CALLE,0.6931471805599453
2012/49,2012-01-01,2012,1,DE 23:00 A 23:59,DOMINGO,ARGANZUELA,PASEO DE SANTA MARIA DE LA CABEZA - CALLE DE PALOS DE LA FRONTERA,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,23,1,1,PASEO,0.6931471805599453
2012/42,2012-01-02,2012,1,DE 4:00 A 4:59,LUNES,CARABANCHEL,CALLE DE BALEARES NUM,CHOQUE CON OBJETO FIJO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,CALLE,0.6931471805599453
2012/26,2012-01-02,2012,1,DE 10:00 A 10:59,LUNES,FUENCARRAL-EL PARDO,AVENIDA DEL SANTUARIO DE VALVERDE NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,1,10,0,0,AVENIDA,0.6931471805599453
2012/48,2012-01-02,2012,1,DE 10:00 A 10:59,LUNES,RETIRO,PLAZA DE LA INDEPENDENCIA - CALLE DE ALFONSO XII,CAÍDA MOTOCICLETA,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,10,0,1,CALLE,0.6931471805599453
2012/30,2012-01-02,2012,1,DE 12:00 A 12:59,LUNES,FUENCARRAL-EL PARDO,CARRETERA DE COLMENAR VIEJO KM.,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,1,4,1,0,0,1,12,0,0,CARRETERA,0.6931471805599453
2012/24,2012-01-02,2012,1,DE 12:00 A 12:59,LUNES,SAN BLAS,CALLE DE LA ESFINGE - CALLE DEL DISCOBOLO,CHOQUE CON OBJETO FIJO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,0,1,CALLE,0.6931471805599453
2012/51,2012-01-02,2012,1,DE 13:00 A 13:59,LUNES,ARGANZUELA,PASEO DE LOS OLMOS NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,13,0,0,PASEO,0.6931471805599453
2012/54,2012-01-02,2012,1,DE 13:00 A 13:59,LUNES,ARGANZUELA,PLAZA DE LA BEATA MARIA ANA DE JESUS NUM,CAÍDA CICLOMOTOR,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,13,0,0,PLAZA,0.6931471805599453
2012/321,2012-01-02,2012,1,DE 13:00 A 13:59,LUNES,CARABANCHEL,AVENIDA DE LA PRINCESA JUANA DE AUSTRIA KM.,COLISIÓN DOBLE,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,1,13,0,0,AVENIDA,1.0986122886681098
2012/53,2012-01-02,2012,1,DE 14:00 A 14:59,LUNES,CHAMBERI,CALLE DEL GENERAL ALVAREZ DE CASTRO NUM,CAÍDA MOTOCICLETA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,14,0,0,CALLE,0.6931471805599453
2012/31,2012-01-02,2012,1,DE 14:00 A 14:59,LUNES,RETIRO,PLAZA DEL CONDE DE CASAL NUM,COLISIÓN DOBLE,2,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,1,0,1,14,0,0,PLAZA,1.0986122886681098
2012/33,2012-01-02,2012,1,DE 16:00 A 16:59,LUNES,CARABANCHEL,CALLE DE EUGENIA DE MONTIJO - AVENIDA DE NUESTRA SEÑORA DE FATIMA,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,16,0,1,AVENIDA,0.6931471805599453
2012/83,2012-01-02,2012,1,DE 16:00 A 16:59,LUNES,CARABANCHEL,CALLE DEL GENERAL RICARDOS - CALLE DE RIO DE ORO,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,16,0,1,CALLE,0.6931471805599453
2012/70,2012-01-02,2012,1,DE 16:00 A 16:59,LUNES,CHAMARTIN,CUESTA DEL SAGRADO CORAZON - CALLE  30  08RE,COLISIÓN MÚLTIPLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,16,0,1,CALLE,0.6931471805599453
2012/35,2012-01-02,2012,1,DE 16:00 A 16:59,LUNES,SAN BLAS,CALLE DE ALCALA - AVENIDA DE CANILLEJAS A VICALVARO,CHOQUE CON OBJETO FIJO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,0,1,AVENIDA,0.6931471805599453
2012/40,2012-01-02,2012,1,DE 18:00 A 18:59,LUNES,CHAMARTIN,CALLE DEL PRINCIPE DE VERGARA - PLAZA DE LA REPUBLICA DEL ECUADOR,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,18,0,1,CALLE,0.6931471805599453
2012/38,2012-01-02,2012,1,DE 18:00 A 18:59,LUNES,PUENTE DE VALLECAS,CALLE DEL PUERTO DE ARLABAN - CALLE DE LA SIERRA DE ALQUIFE,COLISIÓN MÚLTIPLE,3,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,0,0,18,0,1,CALLE,1.3862943611198906
2012/67,2012-01-02,2012,1,DE 19:00 A 19:59,LUNES,HORTALEZA,CALLE DE ARIADNA - AUTOVIA  M-40,COLISIÓN MÚLTIPLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,19,0,1,AUTOVIA,0.6931471805599453
2012/68,2012-01-02,2012,1,DE 19:00 A 19:59,LUNES,SAN BLAS,CALLE DE ALCALA NUM,COLISIÓN MÚLTIPLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,19,0,0,CALLE,0.6931471805599453
2012/61,2012-01-02,2012,1,DE 20:00 A 20:59,LUNES,PUENTE DE VALLECAS,AVENIDA DE LA ALBUFERA - CALLE DE BUSTOS,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,20,0,1,AVENIDA,0.6931471805599453
2012/63,2012-01-02,2012,1,DE 20:00 A 20:59,LUNES,VILLA DE VALLECAS,CALLE DEL ALTO DEL RETIRO NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,20,0,0,CALLE,0.6931471805599453
2012/66,2012-01-02,2012,1,DE 22:00 A 22:59,LUNES,CIUDAD LINEAL,CALLE DE LA CONDESA DE VENADITO NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,22,0,0,CALLE,0.6931471805599453
2012/64,2012-01-02,2012,1,DE 22:00 A 22:59,LUNES,PUENTE DE VALLECAS,CALLE DE SIERRA TOLEDANA NUM,CAÍDA MOTOCICLETA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,22,0,0,CALLE,0.6931471805599453
2012/71,2012-01-03,2012,1,DE 00:00 A 00:59,MARTES,CIUDAD LINEAL,CALLE DEL LAGO CONSTANZA NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,CALLE,0.6931471805599453
2012/46,2012-01-03,2012,1,DE 7:00 A 7:59,MARTES,MORATALAZ,CALLE DE LA FUENTE CARRANTONA NUM,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,7,0,0,CALLE,0.6931471805599453
2012/91,2012-01-03,2012,1,DE 8:00 A 8:59,MARTES,ARGANZUELA,RONDA DE SEGOVIA NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,8,0,0,RONDA,0.6931471805599453
2012/89,2012-01-03,2012,1,DE 8:00 A 8:59,MARTES,PUENTE DE VALLECAS,CALLE DEL COCHERON DE LA VILLA NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,8,0,0,CALLE,0.6931471805599453
2012/55,2012-01-03,2012,1,DE 8:00 A 8:59,MARTES,SALAMANCA,CALLE DEL PRINCIPE DE VERGARA - CALLE DE PADILLA,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,8,0,1,CALLE,0.6931471805599453
2012/97,2012-01-03,2012,1,DE 9:00 A 9:59,MARTES,CHAMBERI,CALLE DE CEA BERMUDEZ NUM,CAÍDA MOTOCICLETA,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,9,0,0,CALLE,0.6931471805599453
2012/92,2012-01-03,2012,1,DE 10:00 A 10:59,MARTES,FUENCARRAL-EL PARDO,CALLE DE NURIA NUM,COLISIÓN DOBLE,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,10,0,0,CALLE,1.0986122886681098
2012/94,2012-01-03,2012,1,DE 10:00 A 10:59,MARTES,LATINA,CALLE DE VALMOJADO - CALLE DE OCAÑA,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,10,0,1,CALLE,0.6931471805599453
2012/127,2012-01-03,2012,1,DE 10:00 A 10:59,MARTES,VILLA DE VALLECAS,CALLE DE SIERRA DE GUADALUPE NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,10,0,0,CALLE,0.6931471805599453
2012/185,2012-01-03,2012,1,DE 11:00 A 11:59,MARTES,CENTRO,CALLE DE FUENCARRAL NUM,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,11,0,0,CALLE,0.6931471805599453
2012/96,2012-01-03,2012,1,DE 13:00 A 13:59,MARTES,CHAMARTIN,PASEO DE LA CASTELLANA NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,13,0,0,PASEO,0.6931471805599453
2012/181,2012-01-03,2012,1,DE 14:00 A 14:59,MARTES,CHAMARTIN,PASEO DE LA CASTELLANA NUM,COLISIÓN DOBLE,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,14,0,0,PASEO,1.0986122886681098
2012/105,2012-01-03,2012,1,DE 17:00 A 17:59,MARTES,CARABANCHEL,CALLE DEL VALLE DE ORO - CALLE DEL DOCTOR ESPINA,CAÍDA MOTOCICLETA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,17,0,1,CALLE,0.6931471805599453
2012/78,2012-01-03,2012,1,DE 17:00 A 17:59,MARTES,MORATALAZ,AVENIDA DEL DOCTOR GARCIA TAPIA - CALLE DE LA PRIMAVERA DE PRAGA,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,17,0,1,AVENIDA,0.6931471805599453
2012/79,2012-01-03,2012,1,DE 17:00 A 17:59,MARTES,VILLA DE VALLECAS,CALLE DE POZA DE LA SAL - AVENIDA DE SANTA EUGENIA,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,1,0,0,1,17,0,1,AVENIDA,0.6931471805599453
2012/84,2012-01-03,2012,1,DE 18:00 A 18:59,MARTES,CARABANCHEL,CALLE DE LA OCA NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,18,0,0,CALLE,0.6931471805599453
2012/80,2012-01-03,2012,1,DE 19:00 A 19:59,MARTES,CENTRO,RONDA DE TOLEDO - CALLE DE LA RIBERA DE CURTIDORES,ATROPELLO,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,19,0,1,RONDA,1.0986122886681098
2012/102,2012-01-03,2012,1,DE 19:00 A 19:59,MARTES,FUENCARRAL-EL PARDO,CALLE DE LA ISLA DE TABARCA - CALLE DE SANTIAGO DE COMPOSTELA,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,19,0,1,CALLE,0.6931471805599453
2012/108,2012-01-03,2012,1,DE 19:00 A 19:59,MARTES,HORTALEZA,AUTOVIA  M-40 - GLORIETA DEL RIO URUBAMBA,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,19,0,1,AUTOVIA,0.6931471805599453
2012/109,2012-01-03,2012,1,DE 19:00 A 19:59,MARTES,SAN BLAS,CALLE DE CAMPEZO - AVENIDA DE ARAGON,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,19,0,1,AVENIDA,0.6931471805599453
2012/141,2012-01-03,2012,1,DE 20:00 A 20:59,MARTES,MONCLOA-ARAVACA,PASEO DEL PINTOR ROSALES - CALLE DE FERRAZ,COLISIÓN DOBLE,4,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,20,0,1,PASEO,1.6094379124341003
2012/214,2012-01-03,2012,1,DE 20:00 A 20:59,MARTES,SALAMANCA,AVENIDA DE BRUSELAS NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,20,0,0,AVENIDA,0.6931471805599453
2012/220,2012-01-03,2012,1,DE 20:00 A 20:59,MARTES,SALAMANCA,AVENIDA DE LOS TOREROS - CALLE DE ROBERTO DOMINGO,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,20,0,1,AVENIDA,0.6931471805599453
2012/130,2012-01-03,2012,1,DE 20:00 A 20:59,MARTES,SAN BLAS,CALLE DE SAMANIEGO - CALLE DE BERNEDO,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,20,0,1,CALLE,0.6931471805599453
2012/106,2012-01-03,2012,1,DE 22:00 A 22:59,MARTES,USERA,CALLE DE LAS CALESAS NUM,COLISIÓN DOBLE,2,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,22,0,0,CALLE,1.0986122886681098
2012/86,2012-01-04,2012,1,DE 00:00 A 00:59,MIERCOLES,FUENCARRAL-EL PARDO,AUTOVIA  M-30 CALZADA 2 KM.,CHOQUE CON OBJETO FIJO,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,AUTOVIA,1.0986122886681098
2012/129,2012-01-04,2012,1,DE 9:00 A 9:59,MIERCOLES,VILLA DE VALLECAS,AVENIDA DEL CERRO MILANO - AVENIDA DE LA GRAN VIA DEL SURESTE,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,9,0,1,AVENIDA,0.6931471805599453
2012/275,2012-01-04,2012,1,DE 10:00 A 10:59,MIERCOLES,HORTALEZA,AVENIDA DE NICETO ALCALA ZAMORA NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,10,0,0,AVENIDA,0.6931471805599453
2012/122,2012-01-04,2012,1,DE 10:00 A 10:59,MIERCOLES,VILLAVERDE,CALLE DE LA TERTULIA NUM,CAÍDA MOTOCICLETA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,10,0,0,CALLE,0.6931471805599453
2012/116,2012-01-04,2012,1,DE 11:00 A 11:59,MIERCOLES,FUENCARRAL-EL PARDO,CALLE DE GINZO DE LIMIA NUM,CAÍDA BICICLETA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,11,0,0,CALLE,0.6931471805599453
2012/190,2012-01-04,2012,1,DE 12:00 A 12:59,MIERCOLES,CIUDAD LINEAL,CALLE DE ARTURO SORIA NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,12,0,0,CALLE,0.6931471805599453
2012/236,2012-01-04,2012,1,DE 13:00 A 13:59,MIERCOLES,CARABANCHEL,CALLE DE FELIX LOPEZ - CALLE DEL CAMINO VIEJO DE LEGANES,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,13,0,1,CALLE,0.6931471805599453
2012/205,2012-01-04,2012,1,DE 13:00 A 13:59,MIERCOLES,FUENCARRAL-EL PARDO,AUTOVIA  M-30 CALZADA 1 KM.,COLISIÓN MÚLTIPLE,4,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,13,0,0,AUTOVIA,1.6094379124341003
2012/104,2012-01-04,2012,1,DE 14:00 A 14:59,MIERCOLES,PUENTE DE VALLECAS,AVENIDA DE LA ALBUFERA NUM,ATROPELLO,3,0,0,0,0,1,0,0,0,0,0,0,1,1,4,1,0,0,0,14,0,0,AVENIDA,1.3862943611198906
2012/119,2012-01-04,2012,1,DE 14:00 A 14:59,MIERCOLES,SALAMANCA,CALLE DE LAGASCA - CALLE DE AYALA,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,14,0,1,CALLE,0.6931471805599453
2012/107,2012-01-04,2012,1,DE 16:00 A 16:59,MIERCOLES,VILLAVERDE,CALLE DE SANTA FLORENCIA NUM,COLISIÓN DOBLE,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,16,0,0,CALLE,1.0986122886681098
2012/292,2012-01-04,2012,1,DE 17:00 A 17:59,MIERCOLES,SALAMANCA,CALLE DE GOYA - CALLE DE LAGASCA,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,1,17,0,1,CALLE,0.6931471805599453
2012/171,2012-01-04,2012,1,DE 18:00 A 18:59,MIERCOLES,CHAMARTIN,GLORIETA DE LOPEZ DE HOYOS - CALLE DE FRANCISCO SILVELA,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,18,0,1,GLORIETA,0.6931471805599453
2012/134,2012-01-04,2012,1,DE 18:00 A 18:59,MIERCOLES,FUENCARRAL-EL PARDO,AVENIDA DE MONFORTE DE LEMOS NUM,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,18,0,0,AVENIDA,0.6931471805599453
2012/223,2012-01-04,2012,1,DE 19:00 A 19:59,MIERCOLES,ARGANZUELA,PASEO DE SANTA MARIA DE LA CABEZA NUM,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,1,19,0,0,PASEO,0.6931471805599453
2012/170,2012-01-04,2012,1,DE 19:00 A 19:59,MIERCOLES,CHAMARTIN,CALLE DE AGUSTIN DE FOXA - CALLE DEL PADRE FRANCISCO PALAU Y QUER,COLISIÓN DOBLE,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,19,0,1,CALLE,0.6931471805599453
2012/110,2012-01-04,2012,1,DE 19:00 A 19:59,MIERCOLES,HORTALEZA,CALLE DEL ACONCAGUA - GLORIETA DEL RIO URUBAMBA,ATROPELLO,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,19,0,1,GLORIETA,0.6931471805599453
2012/210,2012-01-04,2012,1,DE 19:00 A 19:59,MIERCOLES,USERA,AVENIDA DE RAFAELA YBARRA - CALLE DE BEASAIN,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,19,0,1,AVENIDA,0.6931471805599453
2012/267,2012-01-04,2012,1,DE 21:00 A 21:59,MIERCOLES,ARGANZUELA,PASEO DE SANTA MARIA DE LA CABEZA NUM,COLISIÓN MÚLTIPLE,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,21,0,0,PASEO,1.0986122886681098
2012/111,2012-01-04,2012,1,DE 21:00 A 21:59,MIERCOLES,FUENCARRAL-EL PARDO,CALLE DE NUESTRA SEÑORA DE VALVERDE - CALLE DE ANTONIO DE CABEZON,COLISIÓN DOBLE,5,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,21,0,1,CALLE,1.791759469228055
2012/150,2012-01-04,2012,1,DE 21:00 A 21:59,MIERCOLES,RETIRO,AVENIDA DE MENENDEZ PELAYO - CALLE DE VALDERRIBAS,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,21,0,1,AVENIDA,0.6931471805599453
2012/131,2012-01-04,2012,1,DE 21:00 A 21:59,MIERCOLES,SAN BLAS,CALLE DE AJOFRIN - CALLE DE ALBERIQUE,COLISIÓN DOBLE,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,21,0,1,CALLE,0.6931471805599453
2012/113,2012-01-04,2012,1,DE 23:00 A 23:59,MIERCOLES,LATINA,CALLE  VIA CARPETANA NUM,COLISIÓN DOBLE,3,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,0,0,23,0,0,CALLE,1.3862943611198906
